Time (s),X (km),Y (km),Z (km),Vx (km/s),Vy (km/s),Vz (km/s),Event
1227.70620536065,1759.77876959097,-2721.34238486681,5645.76738369318,2.00712216605088,-6.45207636151071,-3.89910322159496,general_trajectory
1228.70620536065,1761.78492308,-2727.79352434424,5641.86408138635,2.00518422277939,-6.45020123320912,-3.90750112648153,general_trajectory
1229.70620536065,1763.78913685811,-2734.24278461281,5637.95238197315,2.0032427442889,-6.44831794374729,-3.91589743261602,general_trajectory
1230.70620536065,1765.7914073903,-2740.69015751125,5634.03228705754,2.00129773100727,-6.44642649290627,-3.92429212953561,general_trajectory
1231.70620536065,1767.791731142,-2747.13563487807,5630.10379825399,1.9993491833706,-6.44452688048883,-3.93268520676642,general_trajectory
1232.70620536064,1769.79010457906,-2753.57920855161,5626.16691718742,1.99739710182326,-6.44261910631953,-3.94107665382349,general_trajectory
1233.70620536064,1771.78652416781,-2760.02087037004,5622.22164549325,1.99544148681789,-6.44070317024484,-3.94946646021091,general_trajectory
1234.70620536064,1773.78098637503,-2766.4606121714,5618.2679848174,1.99348233881541,-6.43877907213318,-3.95785461542189,general_trajectory
1235.70620536064,1775.77348766793,-2772.89842579357,5614.30593681632,1.99151965828508,-6.43684681187503,-3.96624110893877,general_trajectory
1236.70620536063,1777.76402451424,-2779.33430307437,5610.33550315695,1.98955344570445,-6.43490638938298,-3.97462593023315,general_trajectory
1237.70620536063,1779.75259338214,-2785.76823585154,5606.35668551679,1.98758370155944,-6.43295780459186,-3.98300906876592,general_trajectory
1238.70620536063,1781.73919074032,-2792.20021596275,5602.36948558388,1.98561042634433,-6.43100105745879,-3.99139051398736,general_trajectory
1239.70620536063,1783.72381305796,-2798.63023524564,5598.37390505679,1.98363362056176,-6.42903614796325,-3.99977025533717,general_trajectory
1240.70620536062,1785.70645680475,-2805.05828553786,5594.3699456447,1.98165328472278,-6.42706307610719,-4.00814828224459,general_trajectory
1241.70620536062,1787.68711845089,-2811.48435867704,5590.35760906733,1.97966941934683,-6.4250818419151,-4.01652458412841,general_trajectory
1242.70620536062,1789.6657944671,-2817.9084465009,5586.336897055,1.9776820249618,-6.42309244543409,-4.02489915039711,general_trajectory
1243.70620536062,1791.64248132465,-2824.33054084715,5582.30781134862,1.97569110210401,-6.42109488673396,-4.03327197044886,general_trajectory
1244.70620536062,1793.61717549532,-2830.75063355363,5578.27035369973,1.97369665131824,-6.41908916590731,-4.04164303367165,general_trajectory
1245.70620536061,1795.58987345148,-2837.16871645826,5574.22452587045,1.97169867315773,-6.41707528306961,-4.05001232944333,general_trajectory
1246.70620536061,1797.56057166602,-2843.58478139911,5570.17032963356,1.96969716818422,-6.41505323835925,-4.0583798471317,general_trajectory
1247.70620536061,1799.52926661243,-2849.99882021438,5566.10776677245,1.96769213696797,-6.41302303193767,-4.06674557609457,general_trajectory
1248.70620536061,1801.49595476473,-2856.41082474245,5562.03683908117,1.96568358008773,-6.41098466398941,-4.07510950567983,general_trajectory
1249.70620536061,1803.46063259757,-2862.82078682189,5557.95754836445,1.96367149813081,-6.40893813472219,-4.08347162522555,general_trajectory
1250.7062053606,1805.42329658616,-2869.2286982915,5553.86989643765,1.96165589169305,-6.40688344436702,-4.09183192406002,general_trajectory
1251.7062053606,1807.38394320632,-2875.63455099032,5549.77388512681,1.95963676137888,-6.40482059317825,-4.10019039150186,general_trajectory
1252.7062053606,1809.34256893448,-2882.03833675764,5545.66951626869,1.95761410780128,-6.40274958143365,-4.10854701686007,general_trajectory
1253.7062053606,1811.2991702477,-2888.44004743307,5541.55679171071,1.95558793158186,-6.40067040943453,-4.11690178943413,general_trajectory
1254.70620536059,1813.25374362363,-2894.83967485651,5537.435713311,1.95355823335081,-6.39858307750576,-4.12525469851402,general_trajectory
1255.70620536059,1815.2062855406,-2901.23721086819,5533.30628293844,1.95152501374697,-6.3964875859959,-4.13360573338039,general_trajectory
